OS_NM,NEW_ADR,POLL_DIV_CD,GIS_X_COOR,GIS_Y_COOR,LAT,LNG,PRICE_B027,PRICE_D047,PRICE_K015,PRICE_B034,PRICE_C004,UNI_ID
오일필드(주)광주지점,광주 광산구 사암로 127 (우산동),ETC,291514.38018,284775.33582,22.3752901972961,120.62975129281864,1594.0,1454.0,,,,A0020473
(주)버들주유소,광주광역시 광산구 동곡로 510,SKE,288646.95553,281576.4216,22.345418851155856,120.60351926401145,1597.0,1449.0,,1854.0,,A0033156
어등산주유소,광주 광산구 무진대로 68,HDO,289825.0,285230.0,22.378672103871086,120.61325823255227,1599.0,1515.0,,,,A0020424
첨단태양주유소,광주 광산구 비아동원촌길 89 (비아동),HDO,293650.0,292034.0,22.44127252415565,120.64713964936959,1605.0,1465.0,,,,A0020255
더그린㈜ 푸른주유소,광주 광산구 동곡로 104,GSC,288321.10681,277791.90479,22.311343093710484,120.60205482358826,1605.0,1465.0,,1795.0,,A0021057
산월Self주유소,광주 광산구 북문대로 579,HDO,294299.2,290098.0,22.424174882264587,120.65425936042307,1617.0,1477.0,,,,A0020205
한성골드주유소,광주 광산구 동곡로 407 (월전동),GSC,289018.0,280713.0,22.337828185835896,120.60747907198395,1625.0,1479.0,,,1400.0,A0020387
송정현대주유소,광주 광산구 송도로 104 (도산동),HDO,289762.8,281489.0,22.34509465871114,120.61431601293243,1649.0,1529.0,,,,A0020310
삼도주유소,광주 광산구 삼도로 327,SKE,281669.00252,285727.99561,22.379754969412303,120.53438975958417,1629.0,1489.0,,,1300.0,A0020453
웰컴신가주유소,광주 광산구 목련로 375 (신가동),GSC,293842.9,287627.2,22.401826005346223,120.65094893130932,1629.0,1485.0,,1785.0,,A0020631
SK시민주유소,광주 광산구 고봉로 249 (장수동),SKE,289371.1317,288103.7937,22.40425857663284,120.60760517665994,1629.0,1489.0,,,1350.0,A0020269
