UNI_ID,POLL_DIV_CD,OS_NM,NEW_ADR,SIGUNCD,LPG_YN,GIS_X_COOR,GIS_Y_COOR
A0020473,ETC,오일필드(주)광주지점,광주 광산구 사암로 127 (우산동),1604,N,291514.38018,284775.33582
A0033156,SKE,(주)버들주유소,광주광역시 광산구 동곡로 510,1604,N,288646.95553,281576.4216
A0020424,HDO,어등산주유소,광주 광산구 무진대로 68,1604,N,289825.0,285230.0
A0020255,HDO,첨단태양주유소,광주 광산구 비아동원촌길 89 (비아동),1604,N,293650.0,292034.0
A0021057,GSC,더그린㈜ 푸른주유소,광주 광산구 동곡로 104,1604,N,288321.10681,277791.90479
A0020205,HDO,산월Self주유소,광주 광산구 북문대로 579,1604,N,294299.2,290098.0
A0020387,GSC,한성골드주유소,광주 광산구 동곡로 407 (월전동),1604,N,289018.0,280713.0
A0020631,GSC,웰컴신가주유소,광주 광산구 목련로 375 (신가동),1604,N,293842.9,287627.2
A0020269,SKE,SK시민주유소,광주 광산구 고봉로 249 (장수동),1604,N,289371.1317,288103.7937
A0019768,SOL,순양주유소,광주 광산구 어등대로 667,1604,N,290026.0,283529.0
A0020254,SKE,천지주유소,광주 광산구 영광로 3270  (삼거동),1604,N,278720.3,286251.3
A0020479,NHO,임곡농협주유소,광주 광산구 고봉로 565 (산막동),1604,N,287186.47417,290192.78245
A0020221,SOL,남선석유(주) 평동그린주유소,광주 광산구 동곡로 645,1604,N,288635.3,282949.5
A0020234,GSC,애경아름주유소,광주 광산구 손재로 25,1604,N,290972.0,285813.0
A0019785,SOL,해피주유소,광주 광산구 건재로 761,1604,N,287723.49714,276570.38598
A0020302,SOL,대천주유소,광주 광산구 용진로 599,1604,N,286088.2,288982.7
A0020425,SOL,푸른솔주유소,광주광역시 광산구 고봉로 905 (광산동),1604,N,285078.0,292582.0
A0020599,HDO,장덕셀프주유소,광주 광산구 왕버들로 59,1604,N,292507.4218,289939.99731
A0020594,SKE,실크로드주유소,광주 광산구 사암로 866,1604,N,293201.0,291525.0
A0020592,SKE,이칠주유소,광주 광산구 상무대로 378,1604,N,291494.0,283421.0
A0020541,HDO,㈜마이웨이8번가,광주 광산구 사암로 754,1604,N,292476.3218,290719.8192
A0020259,SOL,광장주유소(s),광주 광산구 북문대로 907 (비아동),1604,N,293236.0,293128.0
A0020477,SKE,전송주유소,광주 광산구 어등대로 583,1604,N,289656.71719,284247.91966
A0020427,ETC,송촌주유소,광주 광산구 동곡로 656,1604,N,288717.0,283045.0
A0020316,SOL,슈퍼크린주유소(s),광주 광산구 상무대로 372 (신촌동),1604,N,291424.9,283421.3
A0019660,HDO,삼거리주유소,광주 남구 서문대로 781,1605,N,299712.0,281715.0
A0033492,SKE,행복가득효천주유소,광주 남구 서문대로 37 (이장동),1605,N,296052.62696,276307.71571
A0020488,HDO,대동주유소 ㈜유신산업,광주 남구 대남대로 153,1605,N,300678.8387,282172.9587
A0019571,SOL,새론주유소,광주 남구 대남대로 347,1605,N,299275.0,283187.0
A0019632,GSC,화력주유소,광주 남구 회재로 338,1605,N,293197.0,277784.0
A0019683,SKE,대남로주유소,광주 남구  대남대로 399,1605,N,298996.0,283625.0
A0020270,SKE,양촌주유소,광주 남구 포충로 121 (양촌동),1605,N,289903.7175,274223.0538
A0020119,SOL,솔바우주유소,광주 동구 남계길 4 (내남동),1601,N,303540.0,278039.0
A0019350,RTO,무지개주유소 경훈에너지,광주 북구 서하로 237 (오치동),1603,N,300619.00254,288147.99563
A0019869,HDO,(주)일곡우리주유소,광주 북구 우치로 595 (일곡동),1603,N,300304.0,291496.0
A0033126,SOL,남선석유㈜ 서방셀프주유소,광주 북구 서암대로 323 (우산동),1603,N,301718.5445,285672.59217
A0020134,SKE,(주)엠앤지 첨단북광주IC주유소,광주광역시 북구 삼소로 318,1603,N,297228.8,294070.7
A0020073,HDO,빛고을로셀프주유소,광주 북구 빛고을대로 657 (용두동),1603,N,297188.99513,291864.30919
A0019953,GSC,서림주유소,광주 북구 무등로 126 (신안동),1603,N,299779.1,285903.4
A0019843,SOL,용전주유소,광주 북구 우치로 809,1603,N,299523.82945,293427.88126
A0019731,HDO,매곡주유소,광주 북구 서하로 86 (매곡동),1603,N,299122.5576,288147.0675
A0019944,ETC,㈜마니에셋 독도사랑주유소11,광주 북구 경열로 257(신안동),1603,N,300677.0,285379.0
A0020088,SKE,패밀리셀프주유소,광주 북구 우치로 670,1603,N,300275.12367,292237.97977
A0019946,SOL,도동재주유소,광주 북구 동문대로 410,1603,N,303242.7004,289322.92258
A0019786,SKE,코끼리주유소,광주 북구 서하로 77,1603,N,299014.3649,288200.6629
A0019476,SOL,지산주유소,광주 북구 양산택지로 157,1603,N,298056.54048,291503.81064
A0019950,SKE,세본주유소,광주 북구 용주로 21,1603,N,300043.83772,287512.72671
A0019998,SOL,일곡주유소,광주 북구 우치로422번길 22 (삼각동),1603,N,300259.1388,290038.973
A0019990,RTO,벽진주유소,광주 서구 상무대로 616,1602,N,293807.05542,282947.07626
A0020680,HDO,운천주유소,광주 서구 상무대로 758,1602,N,295079.0,283541.0
A0019726,GSC,대광주유소,광주 서구 하남대로 556 (동천동),1602,N,295748.2304,286672.1502
A0020175,GSC,시민주유소,광주 서구 눌재로 328,1602,N,293078.0,279735.0
A0020561,HDO,(주)일프로주유소,광주 서구 운천로 206 (치평동),1602,N,295962.6148,284185.8002
A0020215,SOL,풍암대림주유소,광주 서구 풍서좌로 83 (매월동),1602,N,296171.7,280837.0
A0019802,SOL,가람주유소,광주 서구 상무대로1206번길 3 (농성동),1602,N,299365.76714,284609.19692
A0020216,HDO,상록주유소,광주 서구 상무대로 1180,1602,N,299120.91417,284508.63234
A0019758,SOL,컨벤션주유소,광주 서구 상무대로 714,1602,N,294709.20219,283328.24093
A0020465,GSC,청정이엔지 (주)주유소,광주 서구 상무자유로 18,1602,N,294143.40685,284214.4383
A0020294,SKE,부경LPG충전소,광주 광산구 동곡로 542 (장록동),1604,Y,288688.7,281912.9
A0020669,SKG,SK행복충전 제일에너지충전소 동곡점,광주 광산구 동곡로 123,1604,Y,288279.0,278028.0
A0020275,E1G,신공항LPG충전소,광주 광산구 상무대로 404,1604,Y,291781.0,283414.0
A0020568,E1G,대성가스(주)지평선충전소,광주광역시 광산구 영광로3777,1604,Y,283480.1,285202.6
A0020171,SKG,SK행복충전 한일엘피지충전소,광주 광산구 북문대로420번길 92,1604,Y,295677.0,288799.0
