OS_NM,NEW_ADR,POLL_DIV_CD,GIS_X_COOR,GIS_Y_COOR,LAT,LNG,PRICE_B027,PRICE_D047,PRICE_K015,PRICE_B034,PRICE_C004,UNI_ID
오일필드(주)광주지점,광주 광산구 사암로 127 (우산동),ETC,291514.38018,284775.33582,35.153231212671244,126.80929986201959,1594.0,1454.0,,,,A0020473
(주)버들주유소,광주광역시 광산구 동곡로 510,SKE,288646.95553,281576.4216,35.12408773468346,126.7782651760914,1597.0,1449.0,,1854.0,,A0033156
어등산주유소,광주 광산구 무진대로 68,HDO,289825.0,285230.0,35.157145245533776,126.79070082090493,1599.0,1515.0,,,,A0020424
첨단태양주유소,광주 광산구 비아동원촌길 89 (비아동),HDO,293650.0,292034.0,35.21887858147373,126.83179933232105,1605.0,1465.0,,,,A0020255
더그린㈜ 푸른주유소,광주 광산구 동곡로 104,GSC,288321.10681,277791.90479,35.089943651634286,126.77520122969776,1605.0,1465.0,,1795.0,,A0021057
산월Self주유소,광주 광산구 북문대로 579,HDO,294299.2,290098.0,35.20149884880018,126.83917756568218,1617.0,1477.0,,,,A0020205
한성골드주유소,광주 광산구 동곡로 407 (월전동),GSC,289018.0,280713.0,35.11634709785606,126.78245116031985,,,,,,A0020387
송정현대주유소,광주 광산구 송도로 104 (도산동),HDO,289762.8,281489.0,35.1234226223608,126.79051712365043,1649.0,1529.0,,,,A0020310
삼도주유소,광주 광산구 삼도로 327,SKE,281669.00252,285727.99561,35.16070674052301,126.70112764135756,1629.0,1489.0,,,1300.0,A0020453
웰컴신가주유소,광주 광산구 목련로 375 (신가동),GSC,293842.9,287627.2,35.17918242272445,126.8344854164275,1629.0,1485.0,,1785.0,,A0020631
SK시민주유소,광주 광산구 고봉로 249 (장수동),SKE,289371.1317,288103.7937,35.18299534957079,126.78533491675982,1629.0,1489.0,,,1350.0,A0020269
에스주유소,광주 광산구 노안삼도로 983,SKE,279926.27902,281684.54975,35.124060088500855,126.68259030784667,,,,,,A0020445
순양주유소,광주 광산구 어등대로 667,SOL,290026.0,283529.0,35.14183696972888,126.79313299432762,1638.0,1498.0,,,,A0019768
천지주유소,광주 광산구 영광로 3270  (삼거동),SKE,278720.3,286251.3,35.1650714870033,126.66869172424892,1639.0,1529.0,,,1250.0,A0020254
임곡농협주유소,광주 광산구 고봉로 565 (산막동),NHO,287186.47417,290192.78245,35.20157910424958,126.7610672871559,,,,,,A0020479
(주)스마일셀프주유소,광주 광산구 고봉로 541 (산막동),SKE,287384.05039,290091.74941,35.20069074053292,126.76325044969899,1639.0,1499.0,,,,A0020463
신촌주유소,광주 광산구 사암로 63 (신촌동),SOL,291505.81781,284114.60485,35.14727541172906,126.80929266463764,1639.0,1519.0,,,1450.0,A0020454
우공주유소,광주 광산구 영광로 3492,HDO,280719.0,285343.0,35.157124869166154,126.69075785733543,1649.0,1499.0,,,1600.0,A0020423
남선석유(주) 평동그린주유소,광주 광산구 동곡로 645,SOL,288635.3,282949.5,35.13646129548355,126.77795243113813,1652.0,1497.0,,1869.0,,A0020221
애경아름주유소,광주 광산구 손재로 25,GSC,290972.0,285813.0,35.16252454709972,126.80321105987096,1653.0,1493.0,,1897.0,1500.0,A0020234
해피주유소,광주 광산구 건재로 761,SOL,287723.49714,276570.38598,35.078868311669325,126.76881395241034,1657.0,1497.0,,,,A0019785
대천주유소,광주 광산구 용진로 599,SOL,286088.2,288982.7,35.19054949330633,126.74917565335896,1669.0,1519.0,,,,A0020302
푸른솔주유소,광주광역시 광산구 고봉로 905 (광산동),SOL,285078.0,292582.0,35.22287216159901,126.7375833751983,,,,,,A0020425
장덕셀프주유소,광주 광산구 왕버들로 59,HDO,292507.4218,289939.99731,35.19988462314709,126.81952427634636,1659.0,1529.0,,1899.0,,A0020599
(주)명진주유소,광주 광산구 용아로 419,GSC,291312.32453,287519.38982,35.17794026702354,126.80672135405788,1659.0,1519.0,,1889.0,,A0020494
진영주유소,광주 광산구 송도로 292 (송정동),SKE,290902.5088,282901.6168,35.13627805394332,126.80283282030436,1659.0,1529.0,,,,A0020262
실크로드주유소,광주 광산구 사암로 866,SKE,293201.0,291525.0,35.214243520904596,126.82693422323912,1665.0,1524.0,,,,A0020594
이칠주유소,광주 광산구 상무대로 378,SKE,291494.0,283421.0,35.1410229757935,126.80925405228456,1669.0,1539.0,,,1500.0,A0020592
㈜마이웨이8번가,광주 광산구 사암로 754,HDO,292476.3218,290719.8192,35.206909448248155,126.81908105254078,1675.0,1524.0,,1917.0,,A0020541
광장주유소(s),광주 광산구 북문대로 907 (비아동),SOL,293236.0,293128.0,35.22869430186681,126.82711072139028,1678.0,1548.0,,,,A0020259
전송주유소,광주 광산구 어등대로 583,SKE,289656.71719,284247.91966,35.14827580801317,126.78898526014895,1679.0,1519.0,,,1500.0,A0020477
송촌주유소,광주 광산구 동곡로 656,ETC,288717.0,283045.0,35.13733102377737,126.77883592123285,,,,,,A0020427
슈퍼크린주유소(s),광주 광산구 상무대로 372 (신촌동),SOL,291424.9,283421.3,35.14101822643752,126.80849585458726,1699.0,1599.0,,,,A0020316
하남현대주유소(H),광주 광산구 임곡로 573 (안청동),HDO,290581.0,291173.0,35.210788916456764,126.79820882546716,1738.0,1628.0,,,,A0020130
서강주유소,광주 광산구 목련로 250,SKE,293154.0,286673.0,35.17050960626183,126.82704683166324,1739.0,1629.0,,,1600.0,A0020682
삼거리주유소,광주 남구 서문대로 781,HDO,299712.0,281715.0,35.12649959686551,126.89962997521198,1619.0,1489.0,,1859.0,,A0019660
행복가득효천주유소,광주 남구 서문대로 37 (이장동),SKE,296052.62696,276307.71571,35.077393708519004,126.86016458539565,1625.0,1485.0,,,,A0033492
대동주유소 ㈜유신산업,광주 남구 대남대로 153,HDO,300678.8387,282172.9587,35.130722977196875,126.91018151822858,1635.0,1515.0,,,,A0020488
새론주유소,광주 남구 대남대로 347,SOL,299275.0,283187.0,35.13972289736208,126.89465665780159,1645.0,1525.0,,,,A0019571
화력주유소,광주 남구 회재로 338,GSC,293197.0,277784.0,35.0904007241896,126.82866672197575,1669.0,1539.0,,,1400.0,A0019632
대촌주유소,광주 남구 고싸움로 169,SOL,293641.6869,276515.76989,35.07901751053757,126.83370553638626,,,,,,A0019593
대촌(상)주유소,광주 남구 회재로 206 (지석동),SOL,293615.00252,276520.99564,35.07906179465246,126.8334123065966,1669.0,1539.0,,,1400.0,A0019518
대남로주유소,광주 남구  대남대로 399,SKE,298996.0,283625.0,35.143642554568906,126.89154193402523,1665.0,1525.0,,,,A0019683
양촌주유소,광주 남구 포충로 121 (양촌동),SKE,289903.7175,274223.0538,35.057953020561285,126.79302827299435,1759.0,1569.0,,,1400.0,A0020270
솔바우주유소,광주 동구 남계길 4 (내남동),SOL,303540.0,278039.0,35.09374172198492,126.94205300433549,1729.0,1559.0,,,,A0020119
무지개주유소 경훈에너지,광주 북구 서하로 237 (오치동),RTO,300619.00254,288147.99563,35.18456925970412,126.90880609607477,1619.0,1489.0,,,1320.0,A0019350
(주)일곡우리주유소,광주 북구 우치로 595 (일곡동),HDO,300304.0,291496.0,35.21471290480198,126.9049429865692,1639.0,1509.0,,,,A0019869
차나라주유소,광주 북구 동문대로 138,HDO,302479.57729,286765.71997,35.172293281491875,126.92939520572789,1625.0,1485.0,,1935.0,,A0020072
용전IC주유소,광주 북구 우치로 842 (용전동),GSC,299497.42778,293756.49702,35.23500568725598,126.89580910434742,1625.0,1495.0,,,,A0019705
남선석유㈜ 서방셀프주유소,광주 북구 서암대로 323 (우산동),SOL,301718.5445,285672.59217,35.16236692207267,126.92117184203892,,,,,,A0033126
(주)엠앤지 첨단북광주IC주유소,광주광역시 북구 삼소로 318,SKE,297228.8,294070.7,35.23760755498561,126.8708494017166,1619.0,1489.0,,1865.0,,A0020134
빛고을로셀프주유소,광주 북구 빛고을대로 657 (용두동),HDO,297188.99513,291864.30919,35.21771806776363,126.87068774126706,1639.0,1515.0,,,,A0020073
서림주유소,광주 북구 무등로 126 (신안동),GSC,299779.1,285903.4,35.16425571483542,126.89985814826895,1645.0,1525.0,,,1500.0,A0019953
용전주유소,광주 북구 우치로 809,SOL,299523.82945,293427.88126,35.232046614279376,126.89613925054182,1648.0,1518.0,,,,A0019843
SK에너지㈜ 보람주유소,광주 북구 용봉로 24 (신안동),SKE,299950.0,286381.0,35.16857726177067,126.90167595913145,1649.0,1489.0,,,,A0020071
(주)케이피유통(본촌주유소),광주 북구 하서로 530 (본촌동),GSC,298278.1,291949.7,35.21859866400513,126.88263826781186,1649.0,1509.0,,,,A0020010
매곡주유소,광주 북구 서하로 86 (매곡동),HDO,299122.5576,288147.0675,35.184411755405385,126.8923780986845,1655.0,1525.0,,,,A0019731
㈜마니에셋 독도사랑주유소11,광주 북구 경열로 257(신안동),ETC,300677.0,285379.0,35.15961847336991,126.90977603085568,1655.0,1510.0,,,,A0019944
