업체명,업체주소,업종명
대광주유소,광주 서구 하남대로 556,GS주유소
날으는가스,광주 광산구 체암로 1652,L P G
(주)일곡석유,광주 북구 우치로422번길 22,쌍용S-oil주유소
광장주유소,광주 광산구 북문대로 907,쌍용S-oil주유소
(주)아지산업,광주 광산구 목련로 250,SK주유소
금성특수가스,광주 광산구 체암로 1808,L P G
대촌주유소,광주 남구 고싸움로,쌍용S-oil주유소
동산가스,광주 동구 밤실로4번길 43,L P G
(주)명진주유소,광주 광산구 고봉로 21,GS주유소
(주)자연개발 옥산주유소,광주 서구 풍서우로 176,주 유 소
남선석유(주)평동그린주유소,광주 광산구 동곡로 645,쌍용S-oil주유소
(유)대중문화가스,광주 남구 효덕로 103,L P G
고려가스(주),광주 광산구 평동로 853-7,L P G
광산LPG,광주 광산구 연산로 277,L P G
광주에너지,광주 광산구 고봉로 241,L P G
금선에너지,광주 남구 송암로24번나길 14-22,L P G
(주)대산가스,광주 북구 동문대로 409,L P G
(주)스마일셀프주유소,광주 광산구 고봉로 541,SK주유소
(주)엔씨아이 코끼주유소,광주 북구 서하로 77,SK주유소
(유)광임신성가스,광주 북구 민주로 128,L P G
(주)경훈에너지,광주 북구 서하로 237,주 유 소
(주)실크로드주유소,광주 광산구 사암로 866,SK주유소
SK에너지(주)고려셀프주유소,광주 북구 설죽로 398,SK주유소
(유)광주개발,광주 동구 남계길 4,쌍용S-oil주유소
(주)마이웨이8번가주유소,광주 광산구 사암로 754,현대정유오일뱅크
(주)옥산,광주 서구 벽진동,주 유 소
SK코끼리주유소,광주 북구 서하로 77,SK주유소
(주)그린에너지,광주 북구 서암대로 323,현대정유오일뱅크
(유)삼성가스,광주 북구 민주로 128,L P G
(주)케이피유통본촌주유소,광주 북구 하서로 530,GS주유소
SK시민주유소,광주 광산구 고봉로 249,SK주유소
강남주유소,광주 광산구 동곡로 104,SK주유소
남선석유(주)순양주유소,광주 광산구 어등대로 667,주 유 소
건국특수가스,광주 광산구 체암로 1651,L P G
(주)유신산업대동주유소,광주 남구 대남대로 153,현대정유오일뱅크
도동재주유소,광주 북구 동문대로 410,쌍용S-oil주유소
동부충전소,광주 동구 남문로 615,SK가스충전소
디오충전소,광주 북구 빛고을대로 656,현대정유가스충전소
가람주유소,광주 서구 상무대로1206번길 3,쌍용S-oil주유소
유한회사 굿모닝주유소,광주 광산구 북문대로 389,SK주유소
전송주유소,광주 광산구 어등대로 583,SK주유소
차나라주유소,광주 북구 동문대로 138,현대정유오일뱅크
청정이엔지 주식회사,광주 서구 상무자유로 18,GS주유소
해피주유소,광주 광산구 건재로 761,쌍용S-oil주유소
두암주유소,광주 북구 군왕로 103,쌍용S-oil주유소
세본주유소,광주 북구 용주로 21,SK주유소
북광주IC주유소,광주 북구 하서로 678,현대정유오일뱅크
웰컴신가주유소,광주 광산구 목련로 375,GS주유소
패밀리셀프주유소 주식회사,광주 북구 우치로 670,SK주유소
천지주유소,광주 광산구 영광로 3270,SK주유소
새론주유소,광주 남구 대남대로 347,쌍용S-oil주유소
삼거리주유소,광주 남구 서문대로 781,현대정유오일뱅크
송촌주유소,광주 광산구 동곡로,SK주유소
수완LPG충전소,광주 광산구 수완동,SK가스충전소
어등산주유소,광주 광산구 무진대로 68,현대정유오일뱅크
이칠주유소,광주 광산구 상무대로 378,SK주유소
우공주유소,광주 광산구 영광로,현대정유오일뱅크
제일가스,광주 광산구 고봉로 241,L P G
대성가스(주)지평선LPG충전소,광주 광산구 영광로 3777,E1가스충전소
벽진주유소,광주 서구 상무대로 616,주 유 소
미래LPG충전소,광주 북구 임방울대로 983,SK가스충전소
빛고을로셀프주유소,광주 북구 빛고을대로 657,현대정유오일뱅크
매월유통단지주유소,광주 서구 회재로 746,주 유 소
수완LPG충전소,광주 광산구 사암로 668,현대정유가스충전소
신공항엘피지충전소,광주 광산구 상무대로 404,E1가스충전소
주식회사세광이앤지,광주 광산구 본동로 538,L P G
운천주유소,광주 서구 상무대로 758,현대정유오일뱅크
주식회사 일곡우리주유소,광주 북구 우치로 595,현대정유오일뱅크
첨단현대주유소,광주 광산구 비아동원촌길 89,현대정유오일뱅크
주식회사 진솔가스,광주 광산구 영광로,L P G
첨단북광주IC주유소,광주 북구 삼소로 318,SK주유소
대광충전소,광주 남구 송암로24번나길 14-20,SK가스충전소
대천주유소,광주 광산구 용진로 599,쌍용S-oil주유소
덕양에너지 애경아름주유소,광주 광산구 손재로 25,GS주유소
