업체명,업체주소,업종명
(주)명진주유소,광주 광산구 고봉로 21,GS주유소
(주)버들주유소,광주 광산구 동곡로 510,SK주유소
(주)스마일셀프주유소,광주 광산구 고봉로 541,SK주유소
(주)일곡우리주유소,광주 북구 우치로 595,현대정유오일뱅크
(주)일프로주유소,광주 서구 운천로 206,현대정유오일뱅크
(주)케이피유통(본촌주유소),광주 북구 하서로 530,GS주유소
SK시민주유소,광주 광산구 고봉로 249,SK주유소
SK에너지㈜ 고려셀프주유소,광주 북구 설죽로 398,SK주유소
SK에너지㈜ 보람주유소,광주 북구 용봉로 24,SK주유소
SK행복충전 동광주LPG충전소,광주 북구 동문대로 560,SK가스충전소
SK행복충전 동부충전소,광주 동구 남문로 615,SK가스충전소
SK행복충전 제일에너지충전소 동곡점,광주 광산구 동곡로 123,SK가스충전소
SK행복충전 한일엘피지충전소,광주 광산구 북문대로420번길 92,SK가스충전소
가람주유소,광주 서구 상무대로1206번길 3,쌍용S-oil주유소
광장주유소(s),광주 광산구 북문대로 907,쌍용S-oil주유소
굿모닝주유소,광주 광산구 북문대로 389,SK주유소
남선석유(주) 평동그린주유소,광주 광산구 동곡로 645,쌍용S-oil주유소
남선석유㈜ 서방셀프주유소,광주 북구 서암대로 323,현대정유오일뱅크
대광주유소,광주 서구 하남대로 556,GS주유소
대남로주유소,광주 남구 대남대로 399,SK주유소
대동에너지주유소,광주 서구 회재로 783,현대정유오일뱅크
대동주유소 ㈜유신산업,광주 남구 대남대로 153,현대정유오일뱅크
대성가스(주)지평선충전소,광주 광산구 영광로 3777,E1가스충전소
대천주유소,광주 광산구 용진로 599,쌍용S-oil주유소
대촌(상)주유소,광주 남구 회재로,쌍용S-oil주유소
대촌주유소,광주 남구 고싸움로,쌍용S-oil주유소
더그린㈜ 푸른주유소,광주 광산구 동곡로 104,SK주유소
도동재주유소,광주 북구 동문대로 410,쌍용S-oil주유소
동일가스㈜,광주 광산구 동곡로 450,GS주유소
두암주유소,광주 북구 군왕로 103,쌍용S-oil주유소
디오충전소,광주 북구 빛고을대로 656,현대정유가스충전소
매곡주유소,광주 북구 서하로 86,현대정유오일뱅크
매월유통단지주유소,광주 서구 회재로 746,현대정유오일뱅크
매일엘피지,광주 북구 우치로 850,SK가스충전소
무지개주유소 경훈에너지,광주 북구 서하로 237,주 유 소
미래LPG충전소,광주 북구 임방울대로 983,SK가스충전소
벽진주유소,광주 서구 상무대로 616,주 유 소
부경LPG충전소,광주 광산구 장록동,SK가스충전소
북광주IC주유소,광주 북구 하서로 678,현대정유오일뱅크
빛고을로셀프주유소,광주 북구 빛고을대로 657,현대정유오일뱅크
산월Self주유소,광주 광산구 북문대로 579,현대정유오일뱅크
삼거리주유소,광주 남구 서문대로 781,현대정유오일뱅크
삼도주유소,광주 광산구 삼도로,SK주유소
상록주유소,광주 서구 상무대로 1180,현대정유오일뱅크
새론주유소,광주 남구 대남대로 347,쌍용S-oil주유소
서강주유소,광주 광산구 목련로 250,SK주유소
서림주유소,광주 북구 무등로 126,GS주유소
세본주유소,광주 북구 용주로 21,SK주유소
솔바우주유소,광주 동구 남계길 4,쌍용S-oil주유소
송정현대주유소,광주 광산구 송도로 104,현대정유오일뱅크
송촌주유소,광주 광산구 동곡로,SK주유소
수완LPG충전소,광주 광산구 사암로 668,현대정유가스충전소
순양주유소,광주 광산구 어등대로 667,쌍용S-oil주유소
슈퍼크린주유소(s),광주 광산구 상무대로 372,쌍용S-oil주유소
시민주유소,광주 서구 눌재로 328,GS주유소
신공항LPG충전소,광주 광산구 상무대로 404,E1가스충전소
신촌주유소,광주 광산구 사암로,쌍용S-oil주유소
실크로드주유소,광주 광산구 사암로 866,SK주유소
애경아름주유소,광주 광산구 손재로 25,GS주유소
양촌주유소,광주 남구 포충로 121,SK주유소
어등산주유소,광주 광산구 무진대로 68,현대정유오일뱅크
에스주유소,광주 광산구 노안삼도로 983,SK주유소
오일필드(주)광주지점,광주 광산구 사암로 127,현대정유오일뱅크
용전IC주유소,광주 북구 우치로 842,현대정유오일뱅크
용전주유소,광주 북구 우치로 809,쌍용S-oil주유소
우공주유소,광주 광산구 영광로,현대정유오일뱅크
운천주유소,광주 서구 상무대로 758,현대정유오일뱅크
웰컴신가주유소,광주 광산구 목련로 375,GS주유소
이칠주유소,광주 광산구 상무대로 378,SK주유소
일곡주유소,광주 북구 우치로422번길 22,쌍용S-oil주유소
임곡농협주유소,광주 광산구 고봉로 566,주 유 소
장덕셀프주유소,광주 광산구 왕버들로 59,현대정유오일뱅크
전송주유소,광주 광산구 어등대로 583,SK주유소
