업체명,업종명,업체주소,데이터기준일
(유)금강판유리,유리,광주 광산구 북문대로 363-5,2024-09-15
(유)부광,출판인쇄물,광주 북구 서암대로 194,2024-09-15
(유)에이치제이더블유역전할머니맥주,일반한식,광주 광산구 장신로 185,2024-09-15
(유)조은모터스,중고자동차,광주 서구 매월1로62번길 16,2024-09-15
(재)광주그린카진흥원 상무복합수소충전소,기타연료,광주 서구 눌재로 589,2024-09-15
(주) 포금,볼 링 장,광주 남구 봉선중앙로47번길 10,2024-09-15
(주)광주그린섬,예체능학원,광주 동구 중앙로 212,2024-09-15
(주)그리에이트광주2지사,미용 재료,광주 서구 상무대로 944,2024-09-15
(주)남구위생산업,종합용역,광주 남구 군분로89번길 32,2024-09-15
(주)대명월드,사무 기기,광주 서구 내방로358번길 4,2024-09-15
(주)더원퍼스트,볼 링 장,광주광역시 북구 서강로 104-3,2024-09-15
(주)드림기획,종합용역,광주 북구 첨단과기로208번길 43-22,2024-09-15
(주)명성계전,기계 공구,광주 광산구 장덕동,2024-09-15
(주)박앤정,기타대인서비스,광주 북구 서암대로 113-2,2024-09-15
(주)산수쌈밥,일반한식,광주 동구 동계로 11,2024-09-15
(주)서일자동차정비공업사,자동차정비,광주 남구 송암로24번나길 32-6,2024-09-15
(주)송정현대부품대리점,자동차부품,광주 광산구 상무대로 337-1,2024-09-15
(주)아름다운컨벤션,일반한식,광주 광산구 상무대로 509,2024-09-15
(주)야크블랙야크광주아울렛점,스포츠의류,광주 서구 상무대로,2024-09-15
(주)에프2엠지글로벌뷰티아카데미,기능학원,광주 동구 금남로 195,2024-09-15
(주)예광포장인쇄,기타유통업,광주 광산구 오선동,2024-09-15
(주)올리브퍼니쳐,민예공예품,광주 남구 백서로 4-3,2024-09-15
(주)위드카갤러리,중고자동차,광주 서구 회재유통길 78,2024-09-15
(주)일광산업,기타자동차서비스,광주 남구 송암로24번길 20,2024-09-15
(주)제일자동차운전전문학원,기능학원,광주 광산구 풍영정길 241-17,2024-09-15
(주)지오그래픽스,종합용역,광주 서구 서창길 15,2024-09-15
(주)케이원레저개발,골프연습장,광주 광산구 상완길 221,2024-09-15
(주)태성공조,기타전기제품,광주 북구 하남대로 549,2024-09-15
(주)푸드나무,기타음료식품,광주 광산구 평동로740번길 66-16,2024-09-15
(주)한두레유통,슈퍼 마켓,광주 북구 비엔날레로 108,2024-09-15
(주)현대철망,기타건축자재,광주 광산구 동곡로 386,2024-09-15
다2,농축수산품,광주 광산구 왕버들로 129,2024-09-15
134리듬복싱 상무본점,헬스 크럽,광주 서구 운천로 131,2024-09-15
100억노래연습장,노래방,광주 북구 동림동,2024-09-15
119종합카센터,자동차정비,광주 서구 시청서편로4번길 4-1,2024-09-15
153유클리드 수학전문학원,보습학원,광주 광산구 임방울대로 330,2024-09-15
1983영광오뚜기국수집,일반한식,광주 서구 상무연하로 112,2024-09-15
1등로또방,시계,광주 동구 중앙로 249-2,2024-09-15
2030미라인외과의원,의원,광주광역시 서구 죽봉대로 95,2024-09-15
237떡집,기타음료식품,광주 남구 효천중앙로 52,2024-09-15
24시통닭생맥주나라,스넥,광주 북구 독립로 403-1,2024-09-15
27번상회,농축수산가공품,광주 서구 매월동,2024-09-15
314,서양음식,광주 동구 서석로85번길 8,2024-09-15
365 셀프,화물 운송,광주 북구 월동로 70-14,2024-09-15
365화목약국,약국,광주 동구 독립로264번길 2,2024-09-15
3프로상담문화센터,사무서비스,광주 동구 지호로 4,2024-09-15
503 카페(503 cafe),서양음식,광주 북구 우치로 182,2024-09-15
538학원,보습학원,광주 남구 봉선로 169,2024-09-15
601삼겹살,일반한식,광주 동구 남계길 60-1,2024-09-15
60계치킨(광주문흥오치점),스넥,광주 북구 문산로 27,2024-09-15
73번,농축수산품,광주 서구 매월2로 16,2024-09-15
7번가피자 상무점,서양음식,광주 서구 상무민주로 122,2024-09-15
82번상회,농축수산품,광주 서구 천변좌로 262,2024-09-15
88켄터키치킨 쌍암점,스넥,광주 광산구 월계로 217,2024-09-15
98도씨,일반한식,광주 남구 백운로 42,2024-09-15
AI랩코딩학원,컴퓨터학원,광주 광산구 임방울대로 338,2024-09-15
BB헤어샵,미 용 원,광주 남구 서문대로663번길 16-3,2024-09-15
baskin BR robbins,제과점,광주 남구 제중로 136,2024-09-15
BHC치킨 금호선호점,스넥,광주 서구 금부로95번길 14,2024-09-15
by CoCo(바이코코),정장(남성),광주 북구 비엔날레로 94,2024-09-15
CAFE MnM,서양음식,광주 북구 첨단연신로108번길 31-15,2024-09-15
Clean  Detail 클린 앤 디테일,종합용역,광주 동구 중앙로 214,2024-09-15
Cstory,미 용 원,광주 남구 봉선동,2024-09-15
DOFFEE,서양음식,광주 서구 상무시민로 136,2024-09-15
EDP 광천점,기타음료식품,광주 서구 월산로194번길 4,2024-09-15
EZ(이지)치과의원,치과의원,광주 서구 죽봉대로 66,2024-09-15
e-퍼스트치과,치과의원,광주 남구 진월동,2024-09-15
For U Nail,피부미용실,광주 광산구 장신로148번길 17,2024-09-15
GO모텔,여관/기타숙박업,광주 북구 경양로165번길 21,2024-09-15
GS25광주두암점,편 의 점,광주 북구 서방로107번길 67,2024-09-15
GS25광주호반점,편 의 점,광주 동구 남문로 307,2024-09-15
GS25상무중앙점,편 의 점,광주 서구 상무번영로 50,2024-09-15
GS25양산호수점,편 의 점,광주 북구 양산제로137번길 2,2024-09-15
GS25조대후문점,편 의 점,광주 동구 필문대로287번길 15-2,2024-09-15
GS정보,기타사무용,광주 동구 제봉로 171,2024-09-15
HAIR다걸,미 용 원,광주 광산구 신창로35번길 19,2024-09-15
HP NET,컴 퓨 터,광주 서구 광천시장길 2,2024-09-15
IM 캔들,기타가구,광주 서구 풍서우로102번길 19,2024-09-15
Jackson,헬스 크럽,광주 북구 우치로 175,2024-09-15
JS웨딩컨벤션,혼례서비스,광주 서구 상무자유로 27-1,2024-09-15
K1 밧데리,자동차부품,광주 북구 군왕로 170,2024-09-15
KS유통,기타음료식품,광주 북구 문산로92번길 34,2024-09-15
LG오휘화장품(이성희),화 장 품,광주 동구 천변우로 339,2024-09-15
M블라인드,카페트-커텐-천막-지물,광주 북구 경양로 177,2024-09-15
Merci(메르시),정장(남성),광주 광산구 임방울대로,2024-09-15
