지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유,LPG
광주광역시,오일필드(주)광주지점,광주 광산구 사암로 127 (우산동),자가상표,062-942-0046,Y,-,1589,1454,-,-
광주광역시,유한회사 연성주유소,광주 광산구 어등대로 247,S-OIL,062-942-5188,Y,-,1591,1440,-,-
광주광역시,국가대표주유소,광주 광산구 영광로 3497,S-OIL,062-943-3663,Y,-,1592,1441,-,-
광주광역시,오일필드(주)광산지점,광주 광산구 동곡로 664 (송촌동),자가상표,062-944-1522,Y,-,1596,1446,-,-
광주광역시,OK클린주유소,광주 광산구 사암로 136 (우산동),GS칼텍스,062-944-5400,Y,-,1597,1459,-,-
광주광역시,(주)버들주유소,광주광역시 광산구 동곡로 510,SK에너지,062-945-3800,Y,1854,1597,1449,-,-
광주광역시,(주)효광 운수대통주유소,광주 광산구 동곡로 846 (운수동),SK에너지,062-942-5570,Y,1899,1599,1449,-,-
광주광역시,어등산주유소,광주 광산구 무진대로 68,HD현대오일뱅크,062-941-2700,Y,-,1599,1515,-,-
광주광역시,(주)평동제일주유소,광주 광산구 동곡로 552 (장록동),알뜰주유소,062-945-8421,Y,-,1599,1449,-,-
광주광역시,첨단태양주유소,광주 광산구 비아동원촌길 89 (비아동),HD현대오일뱅크,062-962-5188,N,-,1599,1459,-,-
광주광역시,송정농협주유소,광주 광산구 송도로 295 (송정동),SK에너지,062-942-6110,Y,-,1599,1455,1300,-
광주광역시,더그린㈜ 푸른주유소,광주 광산구 동곡로 104,GS칼텍스,062-943-9292,Y,1795,1605,1465,-,-
광주광역시,㈜더착한주유소,광주 광산구 동곡로 72 (본덕동),HD현대오일뱅크,062-943-5156,Y,-,1607,1467,-,-
광주광역시,김여사네셀프주유소,광주 광산구 상무대로 435-2,SK에너지,062-941-9767,Y,-,1615,1475,-,-
광주광역시,태평양주유소,광주 광산구 송도로 92 (황룡동),SK에너지,062-942-4844,Y,-,1616,1476,1300,-
광주광역시,산월Self주유소,광주 광산구 북문대로 579,HD현대오일뱅크,062-956-5150,Y,-,1617,1477,-,-
광주광역시,대근주유소,광주 광산구 북문대로 639 (수완동),GS칼텍스,062-956-5929,Y,-,1619,1479,-,-
광주광역시,CJ대한통운㈜직영 신창주유소,광주 광산구 북문대로 399,S-OIL,062-944-1688,Y,-,1620,1490,-,-
광주광역시,(유)효창주유소,광주 광산구 사암로 744,GS칼텍스,062-954-0001,Y,1849,1622,1483,1500,-
광주광역시,평동농협명화지점주유소,광주 광산구 평동로 441 (명화동),GS칼텍스,062-943-4068,N,-,1625,1495,1300,-
